Foodcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
121414,鲭鱼（炸）,48.1,10.7,16.9,20.6,5.1,8
121415,鲭鱼（蒸）,25.6,6.2,11.2,8.2,7.4,11.6
121416,鲭鱼（煮）,24.2,6,10.3,7.9,7.8,12.1
121417,沙丁鱼（茄汁，熟）,6.9,2.5,1.8,2.5,,
121418,沙丁鱼（盐水浸）,,,,,,
121419,沙丁鱼（油浸）,,,,,,
121420,午餐鱼（香辣味）,27.2,3.9,7,16.2,,
121421,鳕鱼（烤）,,,,,,
121422,鳕鱼（炸）,,,,,,
122203,虾酱,5.3,1.6,2.2,1.5,,
122204,虾仁（红）,,,,,,
122301,虾仁肉丸,,,,,0.1,0.4
123006,海蟹（小）,0.6,0.2,0.3,0.1,,
123301,蟹足棒,0.3,0.1,0.1,0.1,,
124117,海蚌[西施舌],,,,,,
124601,文蛤丸,8.3,3.1,3.6,1.7,0.2,0.5
129014,甲鱼蛋,6.1,1.2,4.1,0.8,,
129301,墨鱼圈,2,1.2,0.5,0.3,,
129302,墨鱼丸,4.2,1.9,1.8,0.4,,
131101,婴儿配方奶粉（爱儿乐，惠氏）,,,,,,
131102,婴儿配方奶粉（爱儿乐，惠氏，金装）,,,,,,
131103,婴儿配方奶粉（爱力大1，美赞臣）,,,,,,
131104,婴儿配方奶粉（安婴儿，美赞臣）,,,,,,
131105,婴儿配方奶粉（安婴儿A+，美赞臣）,,,,,,
131106,婴儿配方奶粉（安婴乐，美赞臣）,,,,,,
131107,婴儿配方奶粉（吉利蜜1，森永牌）,,,,,,
131108,婴儿配方奶粉（可淇牌）,,,,,,
131109,婴儿配方奶粉（力多精1，雀巢）,,,,,,
131110,婴儿配方奶粉（美素力1）,,,,,,
131111,婴儿配方奶粉（美素力H）,,,,,,
131112,婴儿配方奶粉（美素力，袋装）,,,,,,
131113,婴儿配方奶粉（圣元牌）,,,,,,
131114,婴儿配方奶粉（完达山牌）,,,,,,
131115,婴儿奶粉（高钙，圣元牌）,,,,,,
131116,婴儿配方豆奶（爱儿素，惠氏）,,,,,,
131201,较大婴儿配方奶粉（爱力大2，美赞臣）,,,,,,
131202,较大婴儿配方奶粉（安婴宝，美赞臣）,,,,,,
131203,较大婴儿配方奶粉（安婴宝A+，美赞臣）,,,,,,
131204,较大婴儿配方奶粉（健儿乐，惠氏）,,,,,,
131205,较大婴儿配方奶粉（健儿乐，惠氏，金装）,,,,,,
131206,较大婴儿配方奶粉（可淇牌）,,,,,,
131207,较大婴儿配方奶粉（美素乐2）,,,,,,
131208,较大婴儿配方奶粉（美素乐，全能装）,,,,,,
131209,较大婴儿配方奶粉（美素乐，袋装）,,,,,,
131210,较大婴幼儿配方奶粉（吉利蜜2，森永牌）,,,,,,
131211,较大婴幼儿配方奶粉（力多精2，雀巢）,,,,,,
131212,较大婴儿配方奶粉（圣元牌）,,,,,,
131213,较大婴儿配方奶粉（高钙，圣元牌）,,,,,,
131214,较大婴儿配方奶粉（完达山牌）,,,,,,
131301,幼儿奶粉（爱力大3，美赞臣）,,,,,,
131302,幼儿奶粉（安儿宝，美赞臣）,,,,,,
131303,幼儿奶粉（安儿宝A+，美赞臣）,,,,,,
131304,幼儿奶粉（惠氏）,,,,,,
131305,幼儿奶粉（惠氏，金装）,,,,,,
131306,幼儿奶粉（可淇牌）,,,,,,
131307,幼儿奶粉（美素高）,,,,,,
131308,幼儿奶粉（美素高，全能装）,,,,,,
131309,幼儿奶粉（美素高，袋装）,,,,,,
131310,幼儿奶粉（雀巢）,,,,,,
131311,幼儿奶粉（雀巢金牌）,,,,,,
131312,幼儿奶粉（森永牌）,,,,,,
131313,幼儿奶粉（圣元牌）,,,,,,
132001,胡萝卜苹果泥（亨氏）,,,,,,
132002,鸡肝蔬菜泥（亨氏）,,,,,,
132003,香甜胡萝卜泥（亨氏）,,,,,,
133009,米粉（雀巢）,,,,,,
133010,米粉（高蛋白，雀巢）,,,,,,
133011,米粉（高蛋白，亨氏）,,,,,,
133012,米粉（苹果，雀巢）,,,,,,
133013,米粉（蔬菜，亨氏）,,,,,,
133014,米粉（蔬菜，雀巢）,,,,,,
133015,米粉（胡萝卜，亨氏）,,,,,,
133016,米粉（胡萝卜，雀巢）,,,,,,
133017,米粉（番茄，亨氏）,,,,,,
133018,米粉（猪肝蔬菜，亨氏）,,,,,,
133019,米粉（鱼肉蔬菜，亨氏）,,,,,,
133020,麦粉（蜂蜜，雀巢）,,,,,,
141038,春卷（素馅）,,,,,,
141039,黑芝麻汤圆,,,,,,
141040,醪糟,,,,,,
141041,煎饼,,,,,,
141042,过桥米线,,,,,,
142108,蛋糕（巧克力）,,,,,,
142109,蛋糕（水果）,,,,,,
142209,月饼（蛋黄）,,,,,,
142210,月饼（豆沙）,,,,,,
142211,月饼（桂花板栗）,,,,,,
142212,月饼（奶油莲芸）,,,,,,
142332,沙琪玛蛋酥,28.8,16.6,10.3,1.3,,
142333,香橙水果馅饼,,,,,,
151001,鸡柳汉堡（肯德基）,,,,,,
151002,香芋甜心（肯德基）,,,,,,
151003,鸡肉汉堡（肯德基）,,,,,,
